,,,"Математика (Практические)
Акимова Е. А.",А-507,"Математика (Практические)
Акимова Е. А.",А-507,"История России (Практические)
Вакансия 8 К. .",А-308,"История России (Практические)
Вакансия 8 К. .",А-308,"Математика (Практические)
Вакансия 6 К. .",А-512,"Математика (Практические)
Вакансия 6 К. .",А-512,"Математика (Практические)
Вакансия 8 К. .",Г-323,"Математика (Практические)
Вакансия 8 К. .",Г-323,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-526,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-526,"Математика (Практические)
Алексенцев Ю. М.",Г-325,"Математика (Практические)
Алексенцев Ю. М.",Г-325,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Математика (Практические)
Вакансия 8 К. .",Г-327,"Математика (Практические)
Вакансия 8 К. .",Г-327,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Математика (Лекционные)
Лёвшина Г. Д.",Л-740,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Вычислительные машины, сети и системы (Лекционные)
Буянов С. И.",Л-746,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-511,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-511,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"Математика (Лекционные)
Плужникова Е. Л.",Б-3,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Л-531,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Л-531,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"Математика (Практические)
Чикалова А. В.",Л-631,"Математика (Практические)
Чикалова А. В.",Л-631,"Математика (Практические)
Вакансия 9 К. .",А-511,"Математика (Практические)
Вакансия 9 К. .",А-511,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556,"История России (Лекционные)
Вакансия 1 К. .",Л-556
,3,12:40:00 - 14:15:00,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Программирование и алгоритмизация (Лекционные)
Стучилин В. В.",К-214,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,,,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Вакансия 1 К. .",Б-901,"Математика (Практические)
Данченков И. В.",А-328,"Математика (Практические)
Данченков И. В.",А-328,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Математика (Практические)
Сметюхова А. В.",А-517,"Математика (Практические)
Сметюхова А. В.",А-517,"Математика (Практические)
Бугаевская А. Н.",Г-325,"Математика (Практические)
Бугаевская А. Н.",Г-325,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,,,,,,,,,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"Математика (Лекционные)
Алексенцев Ю. М.",Б-4,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,"1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","1, 2 п.г. Программирование и алгоритмизация (Лабораторные)
Полевой Д. В.","Б-804-УВЦ, Б-805-УВЦ","Основы российской государственности (Практические)
Вакансия 3 К. .",А-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-524,"Математика (Практические)
Шелепова Е. В.",Г-323,"Математика (Практические)
Шелепова Е. В.",Г-323,"Математика (Практические)
Ногинова Л. Ю.",Л-509,"Математика (Практические)
Ногинова Л. Ю.",Л-509,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"История России (Практические)
Вакансия 1 К. .",К-519,"История России (Практические)
Вакансия 1 К. .",К-519,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-520,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-520,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-828,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-828,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-518,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-518,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-826,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-826,,,,
,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Стучилин В. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Парфенова Е. В.","Б-823-УВЦ, Б-825-УВЦ","Математика (Практические)
Акимова Е. А.",А-511,"Математика (Практические)
Акимова Е. А.",А-511,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-538,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-538,,,,,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Практические)
Лёвшина Г. Д.",Л-629,"Математика (Практические)
Лёвшина Г. Д.",Л-629,"Математика (Практические)
Данченков И. В.",А-328,"Математика (Практические)
Данченков И. В.",А-328,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-525,"Математика (Практические)
Сметюхова А. В.",Г-311,"Математика (Практические)
Сметюхова А. В.",Г-311,"Математика (Практические)
Бугаевская А. Н.",Г-325,"Математика (Практические)
Бугаевская А. Н.",Г-325,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-524,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.",Б-316,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.",Б-316,,,,,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"Математика (Лекционные)
Алексенцев Ю. М.",Л-740,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.",Л-826,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.",Л-826,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Введение в специальность (Практические)
Бакулев К. С.",А-509,"Введение в специальность (Практические)
Бакулев К. С.",А-509,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-524,"Основы российской государственности (Практические)
Вакансия 3 К. .",А-524,"Математика (Практические)
Шелепова Е. В.",Г-323,"Математика (Практические)
Шелепова Е. В.",Г-323,,,,,,,,,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-520,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-520,,,,,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-518,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-518,"История России (Практические)
Вакансия 1 К. .",К-519,"История России (Практические)
Вакансия 1 К. .",К-519,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Л-831
,4,14:30:00 - 16:05:00,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Стучилин В. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Парфенова Е. В.","Б-823-УВЦ, Б-825-УВЦ",,,,,,,,,,,,,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-819-УВЦ, Б-821-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-819-УВЦ, Б-821-УВЦ","Введение в специальность (Практические)
",А-517,"Введение в специальность (Практические)
",А-517,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Б-904а,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
",Б-904а,,,,,"Математика (Практические)
Данченков И. В.",А-328,"Математика (Практические)
Данченков И. В.",А-328,,,,,,,,,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,"Основы российской государственности (Лекционные)
Вакансия 8 К. .",Л-556,,,,,"История России (Практические)
Вакансия 1 К. .",К-519,"История России (Практические)
Вакансия 1 К. .",К-519,,,,,,,,
,,,,,,,,,,,,,,,,,,,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,Иностранный язык (Практические),Каф. ИЯКТ,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-821-УВЦ, Б-823-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-821-УВЦ, Б-823-УВЦ",,,,,,,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.","Б-819-УВЦ, Б-825-УВЦ","2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Буянов С. И.","Б-819-УВЦ, Б-825-УВЦ","Математика (Практические)
Данченков И. В.",А-328,"Математика (Практические)
Данченков И. В.",А-328,,,,,,,,,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,16:20:00 - 17:55:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Математика (Практические)
Данченков И. В.",А-328,"Математика (Практические)
Данченков И. В.",А-328,,,"2 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,18:00:00 - 19:25:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,19:35:00 - 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Среда,1,09:00:00 - 10:35:00,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Микитенко И. И.",Б-901,,,,,"Введение в специальность (Практические)
",А-526,"Введение в специальность (Практические)
",А-526,,,,,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Вакансия 1 К. .","Б-804-УВЦ, Б-805-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Вакансия 1 К. .","Б-804-УВЦ, Б-805-УВЦ","Введение в специальность (Практические)
",А-524,"Введение в специальность (Практические)
",А-524,"Математика (Практические)
Бортаковский А. С.",Л-631,"Математика (Практические)
Бортаковский А. С.",Л-631,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"Математика (Практические)
Алексенцев Ю. М.",Г-312,"Математика (Практические)
Алексенцев Ю. М.",Г-312,,,,,,,,,,,,,,,,,,,,,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ
,,,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,"Математика (Лекционные)
Акимова Е. А.",Л-740,,,,,,,,,,,,,,,,,"Введение в специальность (Практические)
",А-524,"Введение в специальность (Практические)
",А-524,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Андреева О. В.","Б-825-УВЦ, Б-823-УВЦ","Математика (Практические)
Бортаковский А. С.",Л-631,"Математика (Практические)
Бортаковский А. С.",Л-631,,,,,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"История России (Лекционные)
Вакансия 5 К. .",А-308,"Математика (Практические)
Алексенцев Ю. М.",Г-312,"Математика (Практические)
Алексенцев Ю. М.",Г-312,,,,,,,,,,,,,,,,,,,,,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ,"Иностранный язык (Практические)
",Каф. ИЯКТ
,2,10:50:00 - 12:25:00,"Математика (Практические)
Акимова Е. А.",А-522,"Математика (Практические)
Акимова Е. А.",А-522,"Математика (Практические)
Чикалова А. В.",А-524,"Математика (Практические)
Чикалова А. В.",А-524,"Математика (Практические)
Вакансия 6 К. .",А-511,"Математика (Практические)
Вакансия 6 К. .",А-511,"Математика (Практические)
Сметюхова А. В.",А-526,"Математика (Практические)
Сметюхова А. В.",А-526,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,,,,,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,,,,,"1 п.г. Вычислительные машины, сети и системы (Лабораторные)
Крынецкая Г. С.",Б-901,,,,,,,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"Математика (Практические)
Ногинова Л. Ю.",Л-633,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Математика (Практические)
Вакансия 9 К. .",Г-323,"Математика (Практические)
Вакансия 9 К. .",Г-323,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Л-538,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Л-538,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-517,"Математика (Практические)
Вакансия 9 К. .",А-517
,,,"Математика (Практические)
Акимова Е. А.",А-524,"Математика (Практические)
Акимова Е. А.",А-524,"Математика (Практические)
Чикалова А. В.",А-511,"Математика (Практические)
Чикалова А. В.",А-511,"Математика (Практические)
Вакансия 6 К. .",А-321,"Математика (Практические)
Вакансия 6 К. .",А-321,"Математика (Практические)
Сметюхова А. В.",А-526,"Математика (Практические)
Сметюхова А. В.",А-526,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Бортаковский А. С.",Л-740,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Данченков И. В.",А-308,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,"Математика (Лекционные)
Алексенцев Ю. М.",Л-746,,,,,"Математика (Практические)
Плужникова Е. Л.",Л-631,"Математика (Практические)
Плужникова Е. Л.",Л-631,,,,,,,,,,,,,"Математика (Практические)
Ногинова Л. Ю.",Г-323,"Математика (Практические)
Ногинова Л. Ю.",Г-323,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","2 п.г. Программирование и алгоритмизация (Лабораторные)
Кружкова Г. В.","Б-823-УВЦ, Б-825-УВЦ","Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Основы российской государственности (Практические)
Вакансия 3 К. .",К-522,"Математика (Практические)
Вакансия 9 К. .",А-522,"Математика (Практические)
Вакансия 9 К. .",А-522,"1 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Л-538,"2 п.г. Программирование и алгоритмизация (Лабораторные)
Алтунян А. В.",Л-538,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-509,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-510,"Математика (Практические)
Вакансия 9 К. .",А-517,"Математика (Практические)
Вакансия 9 К. .",А-517
